# pos	cp	char	name
215	983	ϗ	GREEK KAI SYMBOL
216	472	ǘ	LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE
217	473	Ǚ	LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
218	1242	Ӛ	CYRILLIC CAPITAL LETTER SCHWA WITH DIAERESIS
219	1243	ӛ	CYRILLIC SMALL LETTER SCHWA WITH DIAERESIS
220	1244	Ӝ	CYRILLIC CAPITAL LETTER ZHE WITH DIAERESIS
221	1245	ӝ	CYRILLIC SMALL LETTER ZHE WITH DIAERESIS
222	478	Ǟ	LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON
223	479	ǟ	LATIN SMALL LETTER A WITH DIAERESIS AND MACRON
224	480	Ǡ	LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON
225	481	ǡ	LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON
226	482	Ǣ	LATIN CAPITAL LETTER AE WITH MACRON
227	483	ǣ	LATIN SMALL LETTER AE WITH MACRON
228	1252	Ӥ	CYRILLIC CAPITAL LETTER I WITH DIAERESIS
229	1253	ӥ	CYRILLIC SMALL LETTER I WITH DIAERESIS
230	230	æ	LATIN SMALL LETTER AE
231	231	ç	LATIN SMALL LETTER C WITH CEDILLA
232	488	Ǩ	LATIN CAPITAL LETTER K WITH CARON
233	489	ǩ	LATIN SMALL LETTER K WITH CARON
234	490	Ǫ	LATIN CAPITAL LETTER O WITH OGONEK
235	491	ǫ	LATIN SMALL LETTER O WITH OGONEK
236	492	Ǭ	LATIN CAPITAL LETTER O WITH OGONEK AND MACRON
237	1261	ӭ	CYRILLIC SMALL LETTER E WITH DIAERESIS
238	1262	Ӯ	CYRILLIC CAPITAL LETTER U WITH MACRON
239	1263	ӯ	CYRILLIC SMALL LETTER U WITH MACRON
240	240	ð	LATIN SMALL LETTER ETH
241	241	ñ	LATIN SMALL LETTER N WITH TILDE
242	242	ò	LATIN SMALL LETTER O WITH GRAVE
243	1267	ӳ	CYRILLIC SMALL LETTER U WITH DOUBLE ACUTE
244	1268	Ӵ	CYRILLIC CAPITAL LETTER CHE WITH DIAERESIS
245	1269	ӵ	CYRILLIC SMALL LETTER CHE WITH DIAERESIS
246	246	ö	LATIN SMALL LETTER O WITH DIAERESIS
247	503	Ƿ	LATIN CAPITAL LETTER WYNN
248	1272	Ӹ	CYRILLIC CAPITAL LETTER YERU WITH DIAERESIS
249	1273	ӹ	CYRILLIC SMALL LETTER YERU WITH DIAERESIS
250	506	Ǻ	LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE
251	507	ǻ	LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE
252	508	Ǽ	LATIN CAPITAL LETTER AE WITH ACUTE
253	509	ǽ	LATIN SMALL LETTER AE WITH ACUTE
254	510	Ǿ	LATIN CAPITAL LETTER O WITH STROKE AND ACUTE
255	511	ǿ	LATIN SMALL LETTER O WITH STROKE AND ACUTE
